,GEO_ID,Median_Income
228,0500000US06083,74624.0
229,0500000US06085,124055.0
230,0500000US06087,82234.0
231,0500000US06089,54667.0
232,0500000US06091,52148.0
233,0500000US06093,45241.0
234,0500000US06095,81472.0
235,0500000US06097,81018.0
236,0500000US06099,60704.0
237,0500000US06101,59050.0
238,0500000US06103,44514.0
239,0500000US06105,40846.0
240,0500000US06107,49687.0
241,0500000US06109,60108.0
242,0500000US06111,88131.0
243,0500000US06113,70228.0
244,0500000US06115,58054.0
245,0500000US08001,71202.0
246,0500000US08003,37515.0
247,0500000US08005,77469.0
248,0500000US08007,52221.0
249,0500000US08009,35878.0
250,0500000US08011,30900.0
251,0500000US08013,83019.0
252,0500000US08014,96416.0
253,0500000US08015,55771.0
254,0500000US08017,53977.0
255,0500000US08019,67060.0
256,0500000US08021,36084.0
257,0500000US08023,30965.0
258,0500000US08025,42135.0
259,0500000US08027,53119.0
260,0500000US08029,45269.0
261,0500000US08031,68592.0
262,0500000US08033,45972.0
263,0500000US08035,119730.0
264,0500000US08037,84790.0
265,0500000US08039,99199.0
266,0500000US08041,68779.0
267,0500000US08043,49409.0
268,0500000US08045,75937.0
269,0500000US08047,76429.0
270,0500000US08049,71198.0
271,0500000US08051,56577.0
272,0500000US08053,56339.0
273,0500000US08055,38137.0
274,0500000US08057,53300.0
275,0500000US08059,82986.0
276,0500000US08061,41731.0
277,0500000US08063,49349.0
278,0500000US08065,50565.0
279,0500000US08067,68685.0
280,0500000US08069,71881.0
281,0500000US08071,41817.0
282,0500000US08073,47258.0
283,0500000US08075,53318.0
284,0500000US08077,55379.0
285,0500000US08079,62188.0
286,0500000US08081,57229.0
287,0500000US08083,49470.0
288,0500000US08085,50489.0
289,0500000US08087,53682.0
290,0500000US08089,38169.0
291,0500000US08091,66417.0
292,0500000US08093,73622.0
293,0500000US08095,51155.0
294,0500000US08097,78935.0
295,0500000US08099,41929.0
296,0500000US08101,46783.0
297,0500000US08103,54357.0
298,0500000US08105,39123.0
299,0500000US08107,77443.0
300,0500000US08109,38571.0
301,0500000US08111,54625.0
302,0500000US08113,67038.0
303,0500000US08115,43150.0
304,0500000US08117,79277.0
305,0500000US08119,66592.0
306,0500000US08121,50094.0
307,0500000US08123,74150.0
308,0500000US08125,52022.0
309,0500000US09001,95645.0
310,0500000US09003,75148.0
311,0500000US09005,79906.0
312,0500000US09007,85898.0
313,0500000US09009,69905.0
314,0500000US09011,73490.0
315,0500000US09013,87069.0
316,0500000US09015,66550.0
317,0500000US10001,60910.0
318,0500000US10003,73892.0
319,0500000US10005,63162.0
320,0500000US11001,86420.0
321,0500000US12001,49689.0
322,0500000US12003,63275.0
323,0500000US12005,54316.0
324,0500000US12007,45921.0
325,0500000US12009,56775.0
326,0500000US12011,59547.0
327,0500000US12013,38568.0
328,0500000US12015,51499.0
329,0500000US12017,44237.0
330,0500000US12019,65740.0
331,0500000US12021,69653.0
332,0500000US12023,46494.0
333,0500000US12027,35438.0
334,0500000US12029,39828.0
335,0500000US12031,55807.0
336,0500000US12033,50915.0
337,0500000US12035,54514.0
338,0500000US12037,46643.0
339,0500000US12039,41401.0
340,0500000US12041,43640.0
341,0500000US12043,40977.0
342,0500000US12045,47712.0
343,0500000US12047,38569.0
344,0500000US12049,38682.0
345,0500000US12051,40820.0
346,0500000US12053,48812.0
347,0500000US12055,40942.0
348,0500000US12057,58884.0
349,0500000US12059,39102.0
350,0500000US12061,54740.0
351,0500000US12063,39872.0
352,0500000US12065,47240.0
353,0500000US12067,50165.0
354,0500000US12069,54513.0
355,0500000US12071,57832.0
356,0500000US12073,53106.0
357,0500000US12075,37326.0
358,0500000US12077,38015.0
359,0500000US12079,37037.0
360,0500000US12081,59009.0
361,0500000US12083,45371.0
362,0500000US12085,61133.0
363,0500000US12086,51347.0
364,0500000US12087,70033.0
365,0500000US12089,69943.0
366,0500000US12091,63412.0
367,0500000US12093,41760.0
368,0500000US12095,58254.0
369,0500000US12097,52279.0
370,0500000US12099,63299.0
371,0500000US12101,52828.0
372,0500000US12103,54090.0
373,0500000US12105,50584.0
374,0500000US12107,37670.0
375,0500000US12109,82252.0
376,0500000US12111,52322.0
377,0500000US12113,67949.0
378,0500000US12115,62236.0
379,0500000US12117,66768.0
380,0500000US12119,57226.0
381,0500000US12121,47839.0
382,0500000US12123,40306.0
383,0500000US12125,44270.0
384,0500000US12127,49494.0
385,0500000US12129,61410.0
386,0500000US12131,58093.0
387,0500000US12133,37022.0
388,0500000US13001,40304.0
389,0500000US13003,37197.0
390,0500000US13005,37519.0
391,0500000US13007,32917.0
392,0500000US13009,43672.0
393,0500000US13011,47811.0
394,0500000US13013,62345.0
395,0500000US13015,57423.0
396,0500000US13017,32229.0
397,0500000US13019,40415.0
398,0500000US13021,41334.0
399,0500000US13023,48174.0
400,0500000US13025,38857.0
401,0500000US13027,38285.0
402,0500000US13029,72624.0
403,0500000US13031,45550.0
404,0500000US13033,44151.0
405,0500000US13035,43471.0
406,0500000US13037,34167.0
407,0500000US13039,56951.0
408,0500000US13043,33736.0
409,0500000US13045,53737.0
410,0500000US13047,56235.0
411,0500000US13049,41961.0
412,0500000US13051,56842.0
413,0500000US13053,47096.0
414,0500000US13055,36807.0
415,0500000US13057,82740.0
416,0500000US13059,38623.0
417,0500000US13061,22325.0
418,0500000US13063,47864.0
419,0500000US13065,27658.0
420,0500000US13067,77932.0
421,0500000US13069,40859.0
422,0500000US13071,36435.0
423,0500000US13073,82339.0
424,0500000US13075,41854.0
425,0500000US13077,75913.0
426,0500000US13079,46283.0
427,0500000US13081,36042.0
428,0500000US13083,42581.0
429,0500000US13085,66281.0
430,0500000US13087,41481.0
431,0500000US13089,62399.0
432,0500000US13091,39302.0
433,0500000US13093,37340.0
434,0500000US13095,39584.0
435,0500000US13097,63835.0
436,0500000US13099,30640.0
437,0500000US13101,39494.0
438,0500000US13103,66822.0
439,0500000US13105,38678.0
440,0500000US13107,37453.0
441,0500000US13109,42607.0
442,0500000US13111,47997.0
443,0500000US13113,90145.0
444,0500000US13115,48336.0
445,0500000US13117,107218.0
446,0500000US13119,42488.0
447,0500000US13121,69673.0
448,0500000US13123,52625.0
449,0500000US13125,45000.0
450,0500000US13127,52977.0
451,0500000US13129,45865.0
452,0500000US13131,43531.0
453,0500000US13133,52129.0
454,0500000US13135,71026.0
455,0500000US13137,50563.0
456,0500000US13139,62984.0
457,0500000US13141,31860.0
458,0500000US13143,48550.0
459,0500000US13145,76319.0
460,0500000US13147,43204.0
461,0500000US13149,51358.0
462,0500000US13151,71288.0
463,0500000US13153,61723.0
464,0500000US13155,37736.0
465,0500000US13157,65385.0
466,0500000US13159,51250.0
467,0500000US13161,36669.0
468,0500000US13163,33944.0
469,0500000US13165,27375.0
470,0500000US13167,42446.0
471,0500000US13169,56020.0
472,0500000US13171,44846.0
473,0500000US13173,40986.0
474,0500000US13175,39120.0
475,0500000US13177,69280.0
476,0500000US13179,48007.0
477,0500000US13181,39742.0
478,0500000US13183,54605.0
479,0500000US13185,42441.0
480,0500000US13187,51790.0
481,0500000US13189,43468.0
482,0500000US13191,49504.0
483,0500000US13193,32161.0
484,0500000US13195,52500.0
485,0500000US13197,44643.0
486,0500000US13199,37121.0
487,0500000US13201,44542.0
488,0500000US13205,38116.0
489,0500000US13207,54754.0
490,0500000US13209,41996.0
491,0500000US13211,66178.0
492,0500000US13213,48033.0
493,0500000US13215,46408.0
494,0500000US13217,56316.0
495,0500000US13219,90751.0
496,0500000US13221,47120.0
497,0500000US13223,68370.0
498,0500000US13225,46636.0
499,0500000US13227,67631.0
500,0500000US13229,42804.0
501,0500000US13231,64878.0
502,0500000US13233,44891.0
503,0500000US13235,45148.0
504,0500000US13237,51606.0
505,0500000US13239,26667.0
506,0500000US13241,42500.0
507,0500000US13243,31699.0
508,0500000US13245,42728.0
509,0500000US13247,60189.0
510,0500000US13249,44448.0
511,0500000US13251,39842.0
512,0500000US13253,33357.0
513,0500000US13255,47111.0
514,0500000US13257,47164.0
515,0500000US13259,29732.0
516,0500000US13261,36681.0
517,0500000US13263,38549.0
518,0500000US13265,37446.0
519,0500000US13267,40730.0
520,0500000US13269,33832.0
521,0500000US13271,32405.0
522,0500000US13273,34768.0
523,0500000US13275,43740.0
524,0500000US13277,45639.0
525,0500000US13279,40175.0
526,0500000US13281,48219.0
527,0500000US13283,32241.0
528,0500000US13285,45649.0
